"POVINN","UCIT"
NBCM099,"12388"
NJAZ071,"88357"
NDBI026,"12471"
NDBI042,"12657"
NDBI045,"13461"
NDBI046,"10938"
NDBI046,"74478"
NJAZ093,"12390"
NJAZ095,"53792"
NJAZ096,"64280"
NCHF071,"92037"
NFPL181,"10850"
NFPL147,"34229"
NFPL151,"11078"
NFPL151,"11454"
NFPL161,"11553"
NFPL163,"12853"
NFPL190,"12704"
NDGF019,"11225"
NMST551,"11518"
NFUF104,"11849"
NFUF204,"11075"
NFUF206,"11510"
NFUF805,"13827"
NFUF809,"11728"
NFUF811,"17184"
NGEO061,"11400"
NGEO074,"11525"
NGEO076,"11400"
NGEO081,"11400"
NGEO097,"11497"
NAIL062,"12948"
NMFP463,"21830"
NDIN015,"11433"
NFPL195,"11476"
NPRG045,"65502"
NDMI045,"12486"
NFPL500,"11926"
NJAZ044,"53792"
NDMI056,"11358"
NMAI057,"11306"
NOFY024,"11616"
NBCM223,"19302"
NBCM236,"17076"
NBCM238,"12591"
NEVF149,"17642"
NEVF161,"11066"
NEVF165,"11320"
NOFY024,"18085"
NEVF507,"11706"
NEVF507,"12681"
NEVF529,"11621"
NAFY029,"11421"
NAFY030,"15147"
NAFY038,"11591"
NAFY080,"11490"
NOOE126,"11360"
NFOE003,"18084"
NFOE017,"12494"
NFPL012,"12988"
NAIL100,"11023"
NOFY142,"91934"
NBCM242,"12621"
NFPL312,"13582"
NAST003,"11159"
NJAZ176,"48144"
NOFY162,"12720"
NMAG437,"11469"
NOFY021,"21455"
NOFY018,"11724"
NOFY066,"12478"
NFPL221,"24737"
NAFY101,"11620"
NAFY101,"24934"
NBCM103,"13179"
NMAG572,"95979"
NMST422,"11927"
NMMA204,"11583"
NBCM177,"11582"
NPRG031,"11282"
NOFY066,"17076"
NMTP562,"11741"
NOFY024,"14070"
NOFY024,"22962"
NPFL138,"10875"
NOPT016,"11291"
NSWE001,"12088"
NPRG038,"10732"
NGEO105,"12392"
NMFM334,"68652"
NAIL028,"94346"
NOFY070,"12454"
NSWI170,"11618"
NSWI170,"83158"
NSWI203,"10938"
NTIN100,"75254"
NTIN071,"80265"
NTMF100,"11143"
NTMF037,"11483"
NOFY130,"12568"
NOFY130,"68097"
NOFY130,"11715"
NMFM306,"61393"
NMFM306,"94274"
NOFY022,"12413"
NAFY010,"13298"
NMTM161,"17187"
NPRG051,"11618"
NMST541,"11626"
NBCM345,"13733"
NTVY003,"71059"
NMMA465,"11269"
NMMA465,"89256"
NPRG045,"80265"
NBCM067,"12411"
NMMB568,"11415"
NMTD202,"17187"
NMMA462,"16543"
NMTM106,"10728"
NMET015,"13216"
NMTP438,"12178"
NMUG410,"11765"
NOFY078,"12916"
NMSA262,"12711"
NOOE009,"12095"
NOOE021,"11360"
NOOE081,"38218"
NOOE130,"16902"
NMAG496,"96636"
NCGD001,"54720"
NPGR004,"67236"
NOFY057,"10725"
NFUF836,"11486"
NBCM112,"11438"
NBCM112,"17393"
NSZZ501,"12731"
NPRG045,"11822"
NPRG045,"19441"
NPRG045,"65461"
NPRG045,"11606"
NDMI087,"11105"
NPRG045,"80389"
NMMB332,"31857"
NPRG045,"61653"
NPRG045,"92164"
NPRG051,"13027"
NPRG070,"11310"
NPRG071,"11845"
NPRG072,"11324"
NPRG078,"11581"
NSWI026,"72885"
NSWE001,"83603"
NSWI079,"11037"
NSWI080,"93007"
NSWI152,"13027"
NSWI153,"44325"
NJSF146,"24303"
NTMF088,"11339"
NSZZ010,"11318"
NTIN071,"12418"
NTIN099,"11302"
NTMF027,"12363"
NTMF048,"11325"
NTMF130,"19798"
NTVY017,"11239"
NDZK001,"12390"
NFPL028,"13298"
NAFY002,"12284"
NOFY028,"14070"
NOFY086,"11320"
NBCM018,"71987"
NBCM024,"12611"
NEVF550,"61696"
NOFY130,"11724"
NAFY002,"17393"
NMEK436,"11888"
NMMA102,"11491"
NAST009,"13184"
NPFL140,"27504"
NOFY021,"11553"
NMST564,"17952"
NOFY126,"11143"
NMTM410,"10728"
NMTM410,"17787"
NMIN112,"11282"
NMMA622,"11502"
NOFY028,"13227"
NFPL311,"11349"
NFPL122,"11323"
NTIN060,"12406"
NOFY152,"11512"
NMAI054,"82457"
NFUF818,"11811"
NDMI013,"11098"
NOFY024,"12143"
NMTM404,"12354"
NMAG573,"65702"
NMAG164,"92814"
NMST450,"24142"
NAFY032,"24934"
NMFM311,"11380"
NMAG211,"12324"
NPRG030,"24426"
NDMI002,"80381"
NTIN102,"11063"
NOFY141,"91934"
NMAG405,"39245"
NDMI011,"96762"
NOFY151,"24235"
NBCM012,"71987"
NFUF403,"11034"
NFUF403,"11728"
NMAG439,"75103"
NAIL130,"33844"
NMST552,"12631"
NFPL124,"11724"
NFPL124,"13179"
NEVF505,"12437"
NFPL146,"11779"
NFPL146,"12706"
NMSA211,"24142"
NMNM331,"20877"
NPGR002,"11831"
NTMF006,"47215"
NMAG498,"10831"
NMFP466,"40513"
NOOE005,"11370"
NPRG045,"10876"
NMTD303,"17187"
NFPL136,"23022"
NBCM080,"55328"
NJAZ091,"23675"
NMFM301,"11518"
NMFM301,"11927"
NMUM468,"16457"
NMTM110,"17787"
NDMI118,"80619"
NEVF122,"12437"
NEVF152,"11387"
NEVF514,"34229"
NFPL013,"10850"
NFPL014,"11753"
NFPL020,"11779"
NFPL800,"11447"
NMAI064,"11774"
NMAI064,"12486"
NMAT057,"11772"
NMET062,"10832"
NJAZ204,"22464"
NFPL041,"34229"
NFPL045,"11454"
NFPL053,"13439"
NFPL053,"32594"
NFPL083,"39246"
NFPL095,"11757"
NFPL098,"14073"
NFPL145,"13582"
NFPL145,"11078"
NFPL128,"12704"
NFPL143,"11635"
NJSF085,"11568"
NJSF092,"12347"
NJSF103,"12374"
NJSF103,"19736"
NJSF133,"12432"
NJSF142,"13104"
NJSF152,"11305"
NFUF902,"12410"
NFUF832,"17184"
NFPL168,"11476"
NFPL168,"11757"
NFPL204,"12965"
NFPL241,"18092"
NFPL244,"34229"
NFPL306,"18085"
NFPL309,"18084"
NMEK613,"12098"
NMET012,"13635"
NMET024,"11599"
NMNV412,"14271"
NFUF201,"11441"
NFUF201,"11212"
NFUF802,"13827"
NFUF821,"14077"
NFUF827,"11075"
NFUF838,"11075"
NGEO032,"12392"
NGEO080,"11400"
NGEO088,"12990"
NGEO103,"11525"
NCHF071,"39246"
NJAZ045,"53792"
NJAZ053,"11412"
NAIL126,"11822"
NMST511,"12631"
NAIL062,"11606"
NDMI098,"81937"
NJAZ203,"22464"
NJSF067,"12481"
NJSF091,"11305"
NJSF107,"11327"
NJSF124,"11825"
