"PLAN_CODE","PLAN_YEAR","CODE","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIDAW19B,"2018",NDBI045,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0004",,,,
NIDAW19B,"2018",NDMI002,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0005",,,,
NIDAW19B,"2018",NDMI011,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIDAW19B,"2018",NJAZ076,NJAZ091,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2018",NJAZ077,NJAZ091,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2018",NJAZ091,,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2018",NMAI054,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0011",,,,
NIDAW19B,"2018",NMAI055,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0001",,,,
NIDAW19B,"2018",NMAI057,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0006",,,,
NIDAW19B,"2018",NMAI058,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0012",,,,
NIDAW19B,"2018",NMAI059,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0018",,,,
NIDAW19B,"2018",NPFL054,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0003",,,,
NIDAW19B,"2018",NPGR002,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0009",,,,
NIDAW19B,"2018",NPGR035,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0011",,,,
NIDAW19B,"2018",NPGR036,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0008",,,,
NIDAW19B,"2018",NPRG005,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0014",,,,
NIDAW19B,"2018",NPRG013,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0006",,,,
NIDAW19B,"2018",NPRG021,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0012",,,,
NIDAW19B,"2018",NPRG030,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIDAW19B,"2018",NPRG031,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0008",,,,
NIDAW19B,"2018",NPRG035,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0007",,,,
