"POVINN","REQTYP","REQPOVINN"
NMAF003,P,NMAF034
NMAF004,K,NMAF003
NMAF004,N,NMAA003
NMAF004,N,NMAA004
NMAF004,N,NMAI049
NMAF004,N,NMAI050
NMAF004,N,NUMP005
NMAF004,N,NUMP006
NMAF005,K,NMAF004
NMAF010,K,NMAF009
NMAF011,K,NMAF010
NMAF027,N,NOFY141
NMAF027,Z,NOFY141
NMAF028,N,NOFY142
NMAF028,Z,NOFY142
NMAF031,N,NALG001
NMAF031,N,NALG003
NMAF031,N,NHIM071
NMAF031,N,NHIU077
NMAF031,N,NMAI004
NMAF031,N,NUMP003
NMAF031,Z,NALG001
NMAF031,Z,NHIM071
NMAF031,Z,NMAF027
NMAF031,Z,NUMP003
NMAF032,N,NALG002
NMAF032,N,NALG004
NMAF032,N,NHIM071
NMAF032,N,NHIU077
NMAF032,N,NMAI005
NMAF032,N,NUMP004
NMAF032,P,NMAF031
NMAF032,Z,NALG002
NMAF032,Z,NHIM071
NMAF032,Z,NMAF028
NMAF032,Z,NUMP004
NMAF033,Z,NMAF051
NMAF034,Z,NMAF052
NMAI008,N,NMAA001
NMAI008,N,NMAA002
NMAI008,N,NMAA007
NMAI008,N,NMAA008
NMAI008,N,NMAF033
NMAI008,N,NMAI046
NMAI008,N,NMAI047
NMAI008,N,NUMP001
NMAI008,Z,NMAA001
NMAI008,Z,NMAF033
NMAI008,Z,NUMP001
NMAI009,K,NMAI008
NMAI009,N,NMAA002
NMAI009,N,NMAA008
NMAI009,N,NMAF034
NMAI009,N,NMAI047
NMAI009,N,NUMP002
NMAI009,Z,NMAA002
NMAI009,Z,NMAF034
NMAI009,Z,NUMP002
NMAI019,Z,N#IA001
NMAI019,Z,N#IA017
NMAI042,N,NXXX014
NMAI042,N,NXXX015
NMAI042,N,NXXX016
NMAI042,N,NXXX017
NMAI042,N,NXXX022
NMAI042,N,NXXX023
NMAI042,N,NXXX024
NMAI042,N,NXXX025
NMAI042,N,NXXX033
NMAI042,N,NMAX042
NMAI042,Z,NMAX042
NMAI043,N,NALG001
NMAI043,N,NALG003
NMAI043,N,NMAF012
NMAI043,N,NMAF027
NMAI043,Z,NALG001
NMAI043,Z,NALG003
NMAI043,Z,NMAF027
NMAI044,K,NMAI043
NMAI044,N,NALG002
NMAI044,N,NALG004
NMAI044,N,NMAF028
NMAI044,Z,NALG002
NMAI044,Z,NALG004
NMAI044,Z,NMAF028
NMAI045,N,NALG001
NMAI045,N,NALG002
NMAI045,N,NALG003
NMAI045,N,NALG004
NMAI045,N,NMAF012
NMAI045,N,NMAF027
NMAI045,N,NMAF028
NMAI045,N,NMAF031
NMAI045,N,NMAF032
NMAI045,N,NMAI043
NMAI045,N,NMAI044
NMAI045,N,NUMP003
NMAI045,N,NUMP004
