"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"14257","32-KFNT","11320",Minářová,Lenka,Mgr.,
"14271","32-KNM","11320",Tichý,Petr,doc. RNDr.,Ph.D.
"15056","32-KSVI","11320",Křivánek,Jaroslav,doc. Ing.,Ph.D.
"15272","32-KSI","11320",Toth,David,Ing.,
"16068","32-#EXT","11320",Stein,Oliver,Prof. Dr.,
"16070","32-#EXT","11320",Schultz,Rüdiger,Prof.Dr.,
"17328","32-STUD","11320",Schnabl,Martin,Mgr.,Ph.D.
"14471","32-KPMS","11320",Senft,Tomáš,RNDr.,
"15502","32-KCHFO","11320",Dzurňák,Branislav,RNDr.,Ph.D.
"15807","32-UFAL","11320",Popel,Martin,Mgr.,Ph.D.
"15826","32-#EXT","11320",Schwarzenberg-Czerny,Alex,Dr.,
"16635","32-#EXT","11320",Thalheim,Bernhardt,Prof.,
"16636","32-#EXT","11320",Pasareanu,Corina,Prof.,
"14085","32-UCJF","11320",Žukauskas,Aivaras,Mgr.,
"16577","32-#EXT","11320",Vodák,Rostislav,RNDr.,Ph.D.
"16589","32-STUD","11320",Bydžovský,Petr,RNDr.,CSc.
"16616","32-#EXT","11320",van Stee,Rob,Dr.,Ph.D.
"17693","32-MUUK","11320",Březina,Jan,Mgr.,
"15224","32-KTIML","11320",Iša,Jiří,RNDr.,
"15225","32-KTIML","11320",Sýkora,Ondřej,RNDr.,
"17421","32-AUUK","11320",Hanuš,Josef,RNDr.,Ph.D.
"60084","32-MBUAV","11320",Bilej,Martin,RNDr.,DrSc.
"16427","32-KSVI","11320",Dvořák,Petr,Mgr.,
"16429","32-KSVI","11320",Vodsloň,František,Mgr.,
"16430","32-KAM","11320",Knop,Dušan,doc. RNDr.,Ph.D.
"16619","32-#EXT","11320",Stewart,Lorna,Prof.,
"16623","32-#EXT","11320",Mařík,Radek,Ing.,CSc.
"16995","32-KSVI","11320",Lapin,Peter,Mgr.,
"18097","32-UFAL","11320",Hanks,Patrick,Dr.,
"17787","32-KDM","11320",Halas,Zdeněk,Mgr.,"DiS., Ph.D."
"17907","32-#EXT","11320",Rakovská,Mária,Doc. RNDr.,CSc.
"17911","32-KPMS","11320",Trchová,Radka,Mgr.,Ph.D.
"17923","32-KPMS","11320",Zamazal,David,Mgr.,
"60017","32-USMHAV","11320",Stemberk,Josef,RNDr.,CSc.
"15231","32-UFAL","11320",Korvas,Matěj,Bc.,
"16392","32-#EXT","11320",Bartlová,Ivana,Doc. RNDr.,Ph.D.
"16405","32-MUUK","11320",Blažková,Eva,RNDr.,Ph.D.
"14151","32-KPMS","11320",Žárová,Jana,Mgr.,
"14152","32-KPMS","11320",Lukášek,Josef,Mgr.,
"14650","32-KTIML","11320",Pilát,Martin,doc. Mgr.,Ph.D.
"15051","32-KTV","11320",Háva,Ondřej,Mgr.,
"16394","32-KSVI","11320",Korvasová,Karolína,,"M.Sc., Dr. rer. nat."
"16395","32-KA","11320",Patáková,Zuzana,RNDr.,Ph.D.
"16400","32-KMF","11320",Solař,Pavel,doc. RNDr.,Ph.D.
"17182","32-KDM","11320",Moravec,Luboš,RNDr.,
"16104","32-MUAV","11320",Zapletal,Jindřich,RNDr.,DSc.
"45825","32-KTV","11320",Kunst,Tomáš,Mgr.,
"50162","32-UJEPU","11320",Škoda,Jiří,prof. PhDr.,Ph.D.
"19201","32-PSIK","11320",Grafnetter,Michael,Mgr.,
"16350","32-KSVI","11320",Viola,Ivan,,
"17910","32-KPMS","11320",Havel,Tomáš,Mgr.,
"13888","32-#EXT","11320",Johannsen,Jan,Prof. Dr.,
"13733","32-KCHFO","11320",Veis,Libor,RNDr. Mgr.,Ph.D.
"13759","32-KPMS","11320",Dvořák,Jiří,doc. RNDr.,Ph.D.
"13761","32-FUUK","11320",Profant,Václav,RNDr.,Ph.D.
"13763","32-KSVI","11320",Petříček,Martin,Mgr.,
"16732","32-KDSS","11320",Marek,Lukáš,RNDr. Mgr.,Ph.D.
"16765","32-KAM","11320",Škrekovski,Riste,,
"14047","32-KG","11320",Maierová,Petra,RNDr.,Ph.D.
"16902","32-KFPP","11320",Juha,Libor,Ing.,CSc.
"13718","32-FUUK","11320",Ludwig,Jost,Priv. Doz. Dr.,
"17643","32-KTV","11320",Süss,Martin,Mgr.,
"18011","32-CVUT","11320",Kubeš,Pavel,prof. RNDr.,CSc.
"14507","32-#EXT","11320",Tucsnak,Marius,Prof.,
"19099","32-KPMS","11320",Švarcová,Natálie,PhDr.,Ph.D.
"16584","32-KTIML","11320",Bulín,Jakub,RNDr.,Ph.D.
"16878","32-KSVI","11320",Wilkie,Alexander,prof. Dr. techn.,
"17557","32-UTF","11320",Kopáček,Jaromír,RNDr.,
"14108","32-MUUK","11320",Havle,Oto,Mgr.,Ph.D.
"14110","32-MUUK","11320",Salač,Tomáš,Mgr.,Ph.D.
"14112","32-KAM","11320",Bílka,Ondřej,Mgr.,
"14124","32-UFAL","11320",Straková,Jana,RNDr.,Ph.D.
"15000","32-SISAL","11320",Krčah,Marcel,Mgr.,
"17341","32-KCHFO","11320",Polívka,Tomáš,prof. RNDr.,Ph.D.
"18059","32-#EXT","11320",Darmo,Juraj,Dr.,Ph.D.
"17306","32-KAM","11320",Noy,Marc,prof.,Dr.
"15269","32-KFKL","11320",Kaštil,Jiří,RNDr.,Ph.D.
"15460","32-KMF","11320",Neubert,Milan,RNDr.,Ph.D.
"15647","32-KFPP","11320",Tsud,Nataliya,Ing.,Ph.D.
"12623","32-CTS","11320",Kalva,Zdeněk,RNDr.,
"16911","32-KAM","11320",Stolař,Rudolf,Mgr.,
"18092","32-KFKL","11320",Roszak,Katarzyna,Ing.,Ph.D.
"14450","32-#EXT","11320",Fleitout,Luce,Prof.,
"16850","32-ZCU","11320",Novák,Pavel,prof. Ing.,Ph.D.
"15680","32-#EXT","11320",Pišút,Ján,Prof. RNDr.,DrSc.
"15682","32-#EXT","11320",Janás,Josef,Doc.RNDr.,CSc.
"16473","32-#EXT","11320",Kunzi,Hans-Peter,Prof.,
