"PLAN_CODE","PLAN_YEAR","CODE","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NISD23N,"2023",NDBI021,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0006",,,,
NISD23N,"2023",NDBI023,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0007",,,,
NISD23N,"2023",NDBI034,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0008",,,,
NISD23N,"2023",NDBI037,NSWI166,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0010",,,,
NISD23N,"2023",NDBI040,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0009",,,,
NISD23N,"2023",NDBI042,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0010",,,,
NISD23N,"2023",NDBI048,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0028",,,,
NISD23N,"2023",NDBI049,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0003",,,,
NISD23N,"2023",NDBI050,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0004",,,,
NISD23N,"2023",NMAI060,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0001",,,,
NISD23N,"2023",NPFL054,NPFL129,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0013",,,,
NISD23N,"2023",NPFL114,NPFL138,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0012",,,,
NISD23N,"2023",NPFL129,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0013",,,,
NISD23N,"2023",NPFL138,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0012",,,,
NISD23N,"2023",NPRG014,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0013",,,,
NISD23N,"2023",NPRG024,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0014",,,,
NISD23N,"2023",NPRG042,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0018",,,,
NISD23N,"2023",NPRG043,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0015",,,,
NISD23N,"2023",NPRG054,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0003",,,,
NISD23N,"2023",NPRG058,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0012",,,,
NISD23N,"2023",NPRG069,,"5149",B,6,Předměty týmového projektu,,"01/004/0001",,,,
NISD23N,"2023",NPRG070,,"5149",B,6,Předměty týmového projektu,,"01/004/0002",,,,
NISD23N,"2023",NPRG071,,"5149",B,6,Předměty týmového projektu,,"01/004/0003",,,,
NISD23N,"2023",NPRG072,,"5149",B,6,Předměty týmového projektu,,"01/004/0004",,,,
NISD23N,"2023",NPRX043,NPRG043,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0015",,,,
NISD23N,"2023",NSWI026,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0019",,,,
NISD23N,"2023",NSWI035,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0004",,,,
NISD23N,"2023",NSWI072,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0020",,,,
NISD23N,"2023",NSWI080,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0005",,,,
NISD23N,"2023",NSWI101,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0006",,,,
NISD23N,"2023",NSWI126,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0021",,,,
NISD23N,"2023",NSWI130,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0022",,,,
NISD23N,"2023",NSWI131,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0007",,,,
NISD23N,"2023",NSWI144,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0023",,,,
NISD23N,"2023",NSWI145,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0024",,,,
NISD23N,"2023",NSWI149,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0008",,,,
NISD23N,"2023",NSWI150,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0025",,,,
