"POVINN","JAZYK","PLATIOD","PLATIDO"
NAIL029,ENG,"2021","9999"
NAIL052,ENG,"2015","2020"
NAIL052,ENG,"2021","9999"
NFPL106,ENG,"2022","9999"
NFPL107,ENG,"2022","9999"
NFPL112,ENG,"2019","9999"
NFPL118,CZE,"2022","9999"
NFPL122,ENG,"2022","9999"
NFPL124,ENG,"2022","9999"
NFPL134,ENG,"2014","2020"
NFPL134,ENG,"2021","9999"
NFPL135,ENG,"2015","9999"
NFPL137,ENG,"2014","2020"
NFPL137,ENG,"2021","9999"
NFPL139,ENG,"2021","9999"
NFPL141,ENG,"2022","9999"
NFPL143,ENG,"2022","9999"
NFPL144,ENG,"2022","9999"
NFPL145,ENG,"2022","9999"
NFPL146,ENG,"2022","2022"
NFPL146,ENG,"2023","9999"
NFPL147,ENG,"2022","9999"
NFPL154,ENG,"2022","9999"
NFPL155,ENG,"2022","2023"
NFPL155,ENG,"2024","9999"
NFPL156,ENG,"2022","9999"
NFPL157,ENG,"2022","9999"
NFPL158,ENG,"2022","9999"
NFPL159,ENG,"2021","9999"
NFPL161,ENG,"2014","9999"
NFPL181,ENG,"2021","9999"
NFPL203,CZE,"2015","9999"
NFPL243,ENG,"2023","9999"
NFPL251,ENG,"2022","9999"
NFPL253,ENG,"2024","9999"
NFPL310,ENG,"2022","2023"
NFPL310,ENG,"2024","9999"
NFPL311,ENG,"2022","9999"
NFPL312,ENG,"2022","9999"
NFPL500,ENG,"2022","9999"
NFPL502,ENG,"2021","9999"
NFPL550,ENG,"2022","2022"
NFPL550,ENG,"2023","9999"
NFPL551,ENG,"2022","9999"
NFPL801,ENG,"2022","9999"
NFPL802,ENG,"2022","9999"
NFPL806,ENG,"2023","9999"
NGEO002,ENG,"2016","9999"
NGEO005,ENG,"2019","9999"
NGEO006,ENG,"2016","9999"
NGEO011,ENG,"2016","9999"
NGEO016,ENG,"2016","9999"
NGEO017,ENG,"2018","2021"
NGEO017,ENG,"2022","9999"
NGEO022,ENG,"2016","9999"
NGEO029,ENG,"2016","9999"
NGEO030,ENG,"2016","9999"
NGEO032,ENG,"2016","9999"
NGEO034,ENG,"2016","9999"
NGEO035,ENG,"2016","9999"
NGEO042,ENG,"2016","9999"
NGEO049,ENG,"2016","9999"
NGEO057,ENG,"2016","9999"
NGEO061,ENG,"2017","9999"
NGEO069,ENG,"2016","9999"
NGEO072,ENG,"2016","9999"
NGEO074,ENG,"2016","9999"
NGEO076,ENG,"2017","2021"
NGEO078,ENG,"2016","9999"
NGEO080,ENG,"2020","9999"
NGEO081,ENG,"2017","9999"
NGEO082,ENG,"2016","9999"
NGEO083,ENG,"2016","9999"
NGEO084,ENG,"2016","9999"
NGEO090,ENG,"2016","9999"
NGEO095,ENG,"2016","9999"
NGEO096,ENG,"2017","9999"
NGEO097,ENG,"2016","9999"
NGEO099,ENG,"2016","2021"
NGEO099,ENG,"2022","9999"
NGEO100,ENG,"2020","9999"
NGEO101,ENG,"2016","9999"
NGEO102,ENG,"2016","9999"
NGEO103,ENG,"2016","9999"
NGEO104,ENG,"2016","9999"
NGEO105,ENG,"2016","9999"
NGEO106,ENG,"2016","9999"
NGEO107,ENG,"2019","9999"
NGEO108,ENG,"2019","2021"
NGEO108,ENG,"2022","9999"
NGEO109,ENG,"2019","9999"
NGEO112,ENG,"2023","9999"
NGEO113,ENG,"2021","9999"
NJSF008,ENG,"2022","9999"
NJSF024,ENG,"2022","9999"
NJSF030,ENG,"2022","9999"
NJSF031,ENG,"2019","9999"
NJSF037,ENG,"2022","9999"
NJSF041,ENG,"2022","9999"
NJSF060,ENG,"2021","9999"
NJSF061,ENG,"2021","9999"
NJSF064,ENG,"2022","9999"
NJSF067,ENG,"2022","9999"
NJSF068,ENG,"2022","9999"
NJSF069,ENG,"2022","9999"
NJSF070,ENG,"2022","9999"
NJSF072,ENG,"2020","9999"
NJSF073,ENG,"2022","9999"
NJSF079,ENG,"2022","9999"
NJSF081,ENG,"2022","9999"
NJSF082,ENG,"2022","9999"
NJSF083,ENG,"2022","9999"
NJSF084,ENG,"2022","9999"
NJSF085,ENG,"2022","9999"
NJSF086,ENG,"2022","9999"
NJSF091,ENG,"2022","9999"
NJSF092,ENG,"2022","9999"
NMMA408,ENG,"2016","9999"
NMMA410,ENG,"2022","9999"
NMMA431,ENG,"2017","9999"
NMMA433,ENG,"2017","9999"
NMMA434,ENG,"2017","9999"
NMMA435,CZE,"2024","9999"
NMMA435,ENG,"2016","2023"
NMMA436,CZE,"2022","2023"
NMMA436,ENG,"2016","2021"
NMMA436,ENG,"2024","9999"
NMMA437,ENG,"2017","9999"
NMMA438,ENG,"2015","9999"
NMMA440,CZE,"2015","9999"
NMMA451,CZE,"2014","9999"
NMMA454,CZE,"2015","9999"
NMMA457,ENG,"2018","2021"
NMMA457,ENG,"2022","9999"
NMMA458,ENG,"2014","9999"
NMMA461,CZE,"2015","9999"
NMMA462,ENG,"2016","2022"
NMMA462,ENG,"2023","2023"
NMMA466,ENG,"2019","9999"
NMMA470,CZE,"2015","9999"
NMMA477,CZE,"2015","9999"
NMMA478,CZE,"2015","9999"
NMMA481,CZE,"2023","9999"
NMMA482,CZE,"2023","9999"
NMMA498,CZE,"2018","2023"
NMMA501,CZE,"2020","2022"
NMMA501,CZE,"2023","2023"
NMMA501,ENG,"2020","2022"
NMMA502,ENG,"2020","2022"
NMMA531,ENG,"2014","9999"
NMMA533,ENG,"2016","9999"
NMMA534,ENG,"2016","9999"
NMMA561,ENG,"2017","9999"
NMMA562,ENG,"2017","9999"
NMMA563,ENG,"2016","9999"
NMMA564,ENG,"2018","9999"
NMMA565,CZE,"2015","9999"
NMMA566,CZE,"2015","9999"
NMMA573,CZE,"2024","9999"
NMMA574,ENG,"2018","9999"
NMMA575,ENG,"2018","2021"
NMMA575,ENG,"2022","9999"
NMMA576,ENG,"2018","9999"
NMMA577,CZE,"2015","2021"
NMMA577,CZE,"2022","9999"
NMMA578,CZE,"2015","2021"
NMMA578,CZE,"2022","9999"
NMMA583,CZE,"2020","9999"
NMMA584,CZE,"2015","9999"
NMMA587,CZE,"2015","9999"
NMMA588,ENG,"2024","9999"
NMMA621,ENG,"2016","9999"
NMMA622,ENG,"2016","2020"
NMMA623,ENG,"2016","9999"
NMMA654,ENG,"2022","9999"
NMMA706,ENG,"2020","9999"
NMMB360,ENG,"2019","9999"
NMMB401,CZE,"2020","9999"
NMMB402,CZE,"2019","2022"
NMMB402,CZE,"2023","9999"
NMMB403,CZE,"2019","9999"
NMMB405,CZE,"2017","9999"
NMMB407,ENG,"2018","9999"
NMMB409,ENG,"2018","2020"
NMMB409,ENG,"2021","2023"
NMMB409,ENG,"2024","9999"
NMMB430,ENG,"2021","2023"
NMMB430,ENG,"2023","2023"
NMMB430,ENG,"2024","9999"
NMMB432,CZE,"2020","9999"
NMMB433,ENG,"2018","2022"
NMMB434,ENG,"2018","2023"
NMMB436,CZE,"2020","9999"
NMMB438,ENG,"2017","9999"
NMMB440,CZE,"2018","9999"
NMMB442,CZE,"2018","9999"
NMMB451,ENG,"2018","2020"
NMMB451,ENG,"2021","9999"
NMMB453,CZE,"2014","9999"
NMMB464,CZE,"2020","2020"
NMMB464,CZE,"2021","9999"
NMMB471,CZE,"2018","2021"
NMMB471,CZE,"2022","9999"
NMMB473,CZE,"2021","9999"
NMMB498,CZE,"2019","9999"
NMMB499,CZE,"2019","9999"
NMMB534,ENG,"2020","2020"
NMMB534,ENG,"2021","9999"
NMMB536,CZE,"2018","9999"
NMMB551,CZE,"2016","2021"
NMMB551,CZE,"2022","2022"
NMMB551,CZE,"2023","9999"
NMMB562,CZE,"2019","9999"
NMMB564,CZE,"2019","9999"
NMMB566,CZE,"2023","9999"
NMMO302,CZE,"2021","2021"
NMMO302,CZE,"2022","9999"
NMMO401,ENG,"2019","2020"
NMMO403,ENG,"2020","2020"
NMMO404,ENG,"2014","2020"
NMMO432,ENG,"2014","2020"
NMMO461,ENG,"2017","2020"
NMMO463,ENG,"2017","2022"
NMMO463,ENG,"2023","9999"
NMMO531,ENG,"2014","9999"
NMMO533,ENG,"2021","9999"
NMMO534,ENG,"2018","9999"
NMMO535,ENG,"2014","2020"
NMMO535,ENG,"2021","9999"
NMMO537,ENG,"2016","2020"
NMMO537,ENG,"2020","2020"
NMMO539,ENG,"2014","9999"
NMMO541,ENG,"2020","2020"
NMMO541,ENG,"2021","2022"
NMMO541,ENG,"2023","9999"
NMMO543,ENG,"2023","9999"
NMMO561,ENG,"2014","2020"
NMMO564,ENG,"2014","2020"
NMMO566,ENG,"2017","9999"
NMMO592,ENG,"2016","2021"
NMMO592,ENG,"2022","2022"
NMMO622,ENG,"2016","9999"
NMMO623,ENG,"2016","9999"
NMMO624,ENG,"2016","9999"
NMMO660,ENG,"2018","9999"
NMAG531,CZE,"2020","9999"
NMAG532,CZE,"2020","9999"
NMAG533,ENG,"2017","2023"
NMAG533,ENG,"2024","9999"
NMAG534,ENG,"2018","2020"
NMAG534,ENG,"2021","2021"
NMAG534,ENG,"2022","2023"
NMAG534,ENG,"2024","9999"
NMAG535,CZE,"2021","9999"
NMAG561,ENG,"2018","9999"
NMAG562,CZE,"2018","9999"
NMAG563,CZE,"2020","9999"
NMAG566,ENG,"2020","9999"
NMAG567,CZE,"2018","2022"
NMAG568,CZE,"2018","9999"
NMAG570,CZE,"2024","9999"
NMAG573,CZE,"2019","9999"
NMAG575,ENG,"2020","9999"
NMAG576,ENG,"2017","9999"
NMAG577,CZE,"2017","9999"
