"POVINN","PKLAS"
NLTM011,INFTCS
NLTM012,INFTCS
NLTM021,INFTCS
NLTM028,INFTCS
NLTM029,INFTCS
NMAA001,MATMAA
NMAA002,MATMAA
NMAA003,MATMAA
NMAA004,MATMAA
NMAA005,MATMAA
NMAA006,MATMAA
NMAA006,MATTOP
NMAA007,MATMAA
NMAA008,MATMAA
NMAA009,MATMAA
NMAA010,MATMAA
NMAA013,MATMAA
NMAA014,MATMAA
NMAA016,MATMAA
NMAA018,MATMAA
NMAA019,MATMAA
NMAA021,MATMAA
NMAA039,MATGEM
NMAA039,MATMAA
NMAA067,MATMAA
NMAF001,PHYMAT
NMAF003,PHYMAT
NMAF004,PHYMAT
NMAF005,PHYMAT
NMAF008,PHYMAT
NMAF009,PHYMAT
NMAF010,PHYMAT
NMAF011,PHYMAT
NMAF013,PHYMAT
NMAF014,PHYMAT
NMAF026,PHYMAT
NMAF027,MATALG
NMAF027,PHYMAT
NMAF028,MATALG
NMAF028,PHYMAT
NMAF031,PHYMAT
NMAF032,PHYMAT
NMAF033,PHYMAT
NMAF034,PHYMAT
NMAF035,PHYMAT
NMAI008,MATMAA
NMAI009,MATMAA
NMAI019,MATALG
NMAI042,MATNUM
NMAI043,MATALG
NMAI044,MATALG
NMAI045,MATALG
NMAI049,MATMAA
NMAI050,MATMAA
NMAN001,MATECO
NMAN002,INFAPL
NMAN003,MATECO
NMAN004,MATSTP
NMAN005,MATECO
NMAN005,MATINF
NMAN008,MATECO
NMAT001,MATTOP
NMAT002,MATMAT
NMAT002,MATTOP
NMAT003,MATMAA
NMAT003,MATTOP
NMAT004,MATMAT
NMAT007,MATTOP
NMAT008,MATTOP
NMAT010,MATMAA
NMAT011,MATSTP
NMAT011,MATTOP
NMAT018,MATTOP
NMAT038,MATMAA
NMAT065,MATMAT
NMAT066,MATMAT
NMAT067,MATMAT
NMAT068,MATMOD
NMAT069,MATDIS
NMAT070,MATDIS
NMAT072,MATDEQ
NMET002,PHYMET
NMET003,PHYMET
NMET004,PHYMET
NMET009,PHYMET
NMET011,PHYMET
NMET012,PHYMET
NMET014,PHYMET
NMET019,PHYMET
NMET020,PHYMET
NMET024,PHYMET
NMET025,PHYMET
NMET029,PHYMET
NMET034,PHYMET
NMET038,PHYMET
NMET039,PHYMET
NMET049,PHYMET
NMET050,PHYMET
NMOD001,MATMOD
NMOD001,MATNUM
NMOD004,MATMOD
NMOD005,MATMOD
NMOD007,MATEXT
NMOD007,MATSTP
NMOD010,MATECO
NMOD010,MATSTP
NMOD012,MATMOD
NMOD013,MATMOD
NMOD014,MATOPT
NMOD015,MATMOD
NMOD016,MATMOD
NMOD016,MATNUM
NMOD017,MATMOD
NMOD018,MATMOD
NMOD023,MATMOD
NMOD023,MATNUM
NMOD024,MATMOD
NMOD024,MATNUM
NMOD032,MATMOD
NMOD033,MATMOD
NMOD035,MATMOD
NMOD036,MATMOD
NMUE002,MATMAA
NMUE002,TEAMAT
NMUE003,MATMAA
NMUE004,MATALG
NMUE004,TEAMAT
NMUE005,MATGEM
NMUE006,MATGEM
NMUE007,MATMAA
