"PLAN_CODE","PLAN_YEAR","CODE","NAME_CZ","NAME_EN","SUBJECT_STATUS","SEMESTER_PRIMARY","SEMESTER_COUNT","SUBJECT_TYPE","WORKLOAD_PRIMARY1","WORKLOAD_SECONDARY1","WORKLOAD_PRIMARY2","WORKLOAD_SECONDARY2","CREDITS","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIPVS19B,"2020",NPRG062,Algoritmizace,Introduction to Algorithms,V,"1","1",*,"2","1",,,4,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0001",,,,
NIPVS19B,"2020",NPRX005,Neprocedurální programování,Non-procedural Programming,V,"2","1",*,"2","2",,,6,NPRG005,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0024",,,,
NIPVS19B,"2020",NPRX013,Programování v jazyce Java,Programming in Java Language,V,"1","1",*,"2","2",,,6,NPRG013,"81",B,5,Povinně volitelné předměty IPVS Bc. skupina I.,,"02/007/0001",,,,
NIPVS19B,"2020",NPRX021,Pokročilé programování v jazyce Java,Advanced Java Programming,V,"2","1",*,"2","2",,,6,NPRG021,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0003",,,,
NIPVS19B,"2020",NPRX030,Programování I,Programming I,V,"1","1",Z,"3","2",,,6,NPRG030,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIPVS19B,"2020",NPRX035,Programování v jazyce C#,Programming in C# Language,V,"1","1",*,"2","2",,,6,NPRG035,"81",B,5,Povinně volitelné předměty IPVS Bc. skupina I.,,"02/007/0004",,,,
NIPVS19B,"2020",NPRX036,Datové formáty,Data Formats,V,"2","1",*,"2","2",,,6,NPRG036,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0004",,,,
NIPVS19B,"2020",NPRX038,Pokročilé programování v jazyce C#,Advanced C# Programming,V,"2","1",*,"2","2",,,6,NPRG038,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0005",,,,
NIPVS19B,"2020",NPRX041,Programování v C++,Programming in C++,V,"1","1",*,"2","2",,,6,NPRG041,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0005",,,,
NIPVS19B,"2020",NPRX043,Doporučené postupy v programování,Recommended Programming Practices,V,"2","1",F,"2","2",,,6,NPRG043,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0010",,,,
